iter	Passed	Remaining
0	3	1933
1	6	1561
2	9	1552
3	13	1647
4	17	1712
5	21	1756
6	23	1651
7	25	1569
8	27	1512
9	31	1554
10	35	1587
11	38	1558
12	41	1553
13	45	1584
14	48	1560
15	50	1524
16	53	1506
17	55	1475
18	59	1494
19	61	1473
20	63	1453
21	67	1469
22	70	1452
23	72	1435
24	75	1434
25	78	1433
26	81	1419
27	83	1405
28	85	1392
29	88	1392
30	91	1379
31	93	1370
32	95	1355
33	98	1346
34	100	1334
35	104	1346
36	106	1337
37	109	1332
38	113	1342
39	118	1362
40	123	1381
41	127	1385
42	132	1409
43	135	1402
44	139	1411
45	141	1400
46	144	1391
47	148	1397
48	151	1390
49	154	1388
50	156	1380
51	160	1385
52	164	1389
53	167	1382
54	171	1386
55	173	1375
56	175	1367
57	180	1372
58	184	1376
59	187	1373
60	189	1364
61	192	1356
62	194	1348
63	196	1339
64	199	1333
65	201	1325
66	204	1319
67	206	1314
68	210	1317
69	213	1314
70	216	1305
71	219	1302
72	221	1293
73	225	1296
74	227	1289
75	231	1292
76	235	1294
77	238	1287
78	239	1278
79	243	1279
80	245	1271
81	248	1264
82	250	1258
83	252	1251
84	256	1252
85	258	1245
86	262	1244
87	264	1238
88	266	1232
89	269	1228
90	271	1222
91	275	1219
92	277	1214
93	279	1207
94	281	1201
95	284	1199
96	287	1192
97	291	1194
98	293	1188
99	296	1186
100	299	1181
101	301	1176
102	305	1176
103	307	1171
104	309	1166
105	312	1161
106	315	1157
107	326	1185
108	330	1185
109	333	1183
110	338	1185
111	344	1192
112	348	1192
113	352	1192
114	357	1197
115	363	1202
116	369	1210
117	374	1211
118	379	1216
119	383	1213
120	388	1217
121	392	1215
122	397	1218
123	402	1219
124	407	1221
125	411	1221
126	417	1225
127	421	1224
128	427	1228
129	432	1229
130	435	1226
131	439	1224
132	444	1226
133	448	1224
134	452	1224
135	456	1221
136	462	1225
137	466	1223
138	469	1220
139	474	1219
140	478	1217
141	482	1217
142	488	1218
143	495	1226
144	499	1222
145	503	1221
146	507	1217
147	512	1219
148	516	1215
149	519	1212
150	524	1211
151	527	1208
152	533	1209
153	537	1208
154	542	1206
155	547	1207
156	550	1203
157	554	1200
158	560	1202
159	564	1200
160	568	1196
161	571	1191
162	575	1188
163	578	1185
164	584	1185
165	589	1185
166	591	1180
167	596	1178
168	600	1176
169	604	1173
170	607	1168
171	609	1163
172	614	1160
173	618	1158
174	620	1152
175	623	1146
176	628	1147
177	632	1144
178	636	1141
179	640	1138
180	643	1134
181	649	1134
182	652	1130
183	658	1130
184	664	1130
185	667	1127
186	671	1124
187	676	1122
188	679	1117
189	682	1113
190	685	1109
191	690	1108
192	695	1105
193	700	1105
194	706	1104
195	710	1101
196	716	1101
197	719	1097
198	723	1094
199	727	1091
200	731	1087
201	737	1087
202	741	1084
203	746	1083
204	750	1080
205	756	1079
206	762	1078
207	765	1075
208	771	1074
209	775	1070
210	778	1066
211	781	1062
212	785	1058
213	788	1053
214	792	1050
215	796	1047
216	799	1043
217	803	1039
218	808	1036
219	810	1031
220	814	1028
221	817	1023
222	822	1021
223	825	1017
224	829	1013
225	832	1008
226	835	1004
227	838	1000
228	844	998
229	848	996
230	851	992
231	855	988
232	858	984
233	864	982
234	868	979
235	871	974
236	876	973
237	882	971
238	886	967
239	893	967
240	897	964
241	903	962
242	906	958
243	910	955
244	914	951
245	918	948
246	922	945
247	927	942
248	931	939
249	935	935
250	939	932
251	943	928
252	949	926
253	953	923
254	957	920
255	960	915
256	965	912
257	971	910
258	974	907
259	977	902
260	981	898
261	986	896
262	991	893
263	994	889
264	997	884
265	1001	880
266	1005	877
267	1008	873
268	1014	871
269	1019	868
270	1024	865
271	1029	863
272	1035	860
273	1038	856
274	1041	852
275	1045	848
276	1049	845
277	1052	840
278	1056	837
279	1060	833
280	1063	829
281	1067	825
282	1070	821
283	1074	817
284	1080	815
285	1084	811
286	1088	807
287	1091	803
288	1096	800
289	1100	796
290	1105	794
291	1109	790
292	1113	786
293	1117	783
294	1121	779
295	1125	775
296	1130	772
297	1133	768
298	1137	764
299	1140	760
300	1144	756
301	1146	751
302	1151	748
303	1154	744
304	1159	741
305	1164	738
306	1170	736
307	1174	732
308	1179	729
309	1184	726
310	1187	721
311	1192	718
312	1196	714
313	1200	711
314	1205	707
315	1208	703
316	1213	700
317	1218	697
318	1224	694
319	1227	690
320	1231	686
321	1235	682
322	1243	681
323	1247	677
324	1251	673
325	1254	669
326	1258	665
327	1262	661
328	1265	657
329	1271	655
330	1275	651
331	1278	647
332	1282	643
333	1286	639
334	1296	638
